"id","po_number","job_id","job_number","customer_po_number","impact_po_number","total_amount","status","sent_date","acknowledged_date","completed_date","notes","created_at","updated_at","component_id","division","buyer","quantity_ordered","ship_to","envelope","vendor","new_reprint","reprint_invoice","overall_size","paper_type","component_cpm","folded_size","paper_lbs","sample_distribution","vendor_notes","order_date","file_due","ship_date"
"2d2ab6b4-f9b3-4737-9eb0-e6fc43ca2ab3","1227426","5afadf71-3c25-44b7-b75d-d6699912049a","J-2025-308885","34386-51200.24",,"49.18","sent","""2025-10-08T16:00:59.242Z""",,,,"""2025-10-08T16:00:59.263Z""","""2025-10-08T16:00:59.263Z""","BALSG - 2025-308885","","","25000","FOB JD Graphic","","J.D. Graphic","93# Coated Matte","","26x9.75","100# Gloss Text","49.18","","","","J-2025-308885","""2025-10-08T00:00:00.000Z""","""2025-10-09T00:00:00.000Z""",
"2d611ec6-f000-4772-992d-4b5bb2d1a3d1","1227419","0685e7ff-ef07-4ba7-b646-bbaf9a10d141","J-2025-314062"," 34383-51200.30",,"49.18","sent","""2025-10-07T21:40:17.621Z""",,,,"""2025-10-07T21:40:17.645Z""","""2025-10-07T21:40:17.645Z""","BALSG - 2025-314062","","","10000","FOB JD Graphic","","J.D. Graphic","93# Coated Matte","","","100# Gloss Text","$49.18","","0#","","J-2025-314062","""2025-10-07T00:00:00.000Z""","""2025-10-08T00:00:00.000Z""","""2025-09-25T00:00:00.000Z"""
"4a9cdd3d-410d-494f-a8bf-6b36903fb9a4","1227424","c10603b3-fc63-4da7-ab2c-ffed61f3a21b","J-2025-574827","34412.51200.33",,"49.18","sent","""2025-10-08T16:10:01.694Z""",,,,"""2025-10-08T16:10:01.716Z""","""2025-10-08T16:10:01.716Z""","BALSG - 2025-574827","","","20114","FOB JD Graphic","","J.D. Graphic","","","26x9.75","93# Coated Matte","49.18","","","","J-2025-574827","""2025-10-08T00:00:00.000Z""","""2025-10-09T00:00:00.000Z""",
"507e125a-f330-497d-87db-6ebcb68fb5b4","1227428","c36ff22e-63fc-4339-b061-8ffb52ea78dd","J-2025-121928","34385-51200.28",,"49.18","sent","""2025-10-08T16:09:00.144Z""",,,,"""2025-10-08T16:09:00.166Z""","""2025-10-08T16:09:00.166Z""","BALSG - 2025-121928","","","15000","FOB JD Graphic","","J.D. Graphic","93# Coated Matte","","26x9.75","100# Gloss Text","49.18","","","","J-2025-121928","""2025-10-08T00:00:00.000Z""","""2025-10-09T00:00:00.000Z""",
"62f74a64-6c83-4904-8e44-6b6c326fa703","1227427","61dc5bec-f3ca-4745-86f7-05c2e739f731","J-2025-223952","34384-51200.32",,"49.18","sent","""2025-10-08T16:06:17.916Z""",,,,"""2025-10-08T16:06:17.942Z""","""2025-10-08T16:06:17.942Z""","BALSG - 2025-223952","","","20356","FOB JD Graphic","","J.D. Graphic","","","","93# Coated Matte","49.18","","","","J-2025-223952","""2025-10-08T00:00:00.000Z""","""2025-10-09T00:00:00.000Z""",
"80ee814d-e262-4bf3-be3d-db5b1b9d9915","1227440","ad90b3e1-b34a-4764-957a-6aed15b3de28","J-2025-642385","44277",,"3998.75","sent","""2025-10-13T15:09:36.420Z""",,,,"""2025-10-13T15:09:36.439Z""","""2025-10-13T15:09:36.439Z""","JJSG - 2025-642385","","","175000","FOB JD Graphic","","J.D. Graphic","","","8.5x11","70# matte text","22.85","5.5x8.5","","","J-2025-642385","""2025-10-10T00:00:00.000Z""","""2025-10-11T00:00:00.000Z""",
"830d0e50-5034-4bd5-a8d7-d73a496bf39c","1227409","7d296f45-b735-4b0e-b1f6-589840b4ba3c","J-2025-119173","34299-51200.31",,"13466.94","sent","""2025-10-07T20:20:55.738Z""",,,"","""2025-10-07T20:20:55.758Z""","""2025-10-14T20:35:07.494Z""","BALSG - 2025-119173","","","248081","FOB JD Graphic","","J.D. Graphic","","","","93lb Coated Matte","$34.74","","5,681#","","Job - J-2025-119173","""2025-10-06T00:00:00.000Z""","""2025-10-07T00:00:00.000Z""","""2025-10-06T00:00:00.000Z"""
"9afc1a39-824a-4e89-b58a-3881bd3d06e5","1227430","b7456eb0-1296-40c9-a60d-1d37422e66f2","J-2025-653930","44171",,"10.00","sent","""2025-10-09T22:35:17.412Z""",,,,"""2025-10-09T22:35:17.431Z""","""2025-10-09T22:35:17.431Z""","JJSG - 2025-653930","","","30000","FOB JD Graphic","","J.D. Graphic","","","6x11","9 Point Gloss Cover","10","","20","","J-2025-653930","""2025-10-07T00:00:00.000Z""","""2025-10-08T00:00:00.000Z""",
"9bf493c1-716f-4135-9162-ad1eb1c9937a","1227422","c8cb42a2-1259-4f4d-bdda-fb41e0b343ec","J-2025-646183","34386-51200.26",,"488.75","sent","""2025-10-08T14:28:42.930Z""",,,"","""2025-10-08T14:28:42.956Z""","""2025-10-14T20:54:48.008Z""","BALSG - 2025-646183","","","8000","FOB JD Graphic","","J.D. Graphic","","","26x9.75","93# Coated Matte","49.18","","","","J-2025-646183","""2025-10-08T00:00:00.000Z""","""2025-10-09T00:00:00.000Z""",
"a64561a1-e8fb-4ab9-85a8-910820d5c085","1227438","573e9aad-0c7c-408b-ab7b-f28fc2d20b11","J-2025-889849","44090",,"300.00","sent","""2025-10-10T14:49:26.450Z""",,,,"""2025-10-10T14:49:26.473Z""","""2025-10-10T14:49:26.473Z""","JJSG - 2025-889849","","","30000","FOB JD Graphic","","J.D. Graphic","","","6x9","9 Point Gloss Cover","10","","513","","J-2025-889849","""2025-10-10T00:00:00.000Z""","""2025-10-11T00:00:00.000Z""",
