"id","job_id","file_name","file_url","file_type","file_size","mime_type","uploaded_by","uploaded_at","notes"
"5f21f272-06ff-407b-abfc-0149bf1e4ecb","ad90b3e1-b34a-4764-957a-6aed15b3de28","R2568-INS-F25.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/7e63fc52-f05f-42d6-8b99-a7e935caa290","artwork","4158510","application/pdf","3f2ac51e-75c9-4997-900e-46422aa22459","""2025-10-09T17:33:26.357Z""",
"60986023-db58-4902-8187-e29616d5eba9","c6d7f5a3-d033-4869-92dd-212965f2b6ee","Bradford_PO_1227429_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/62309876-892e-45cd-bf91-dee997aabb43","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-08T17:10:55.591Z""",
"66c3e23e-f72f-42e5-ac5c-03ef2a77e628","ad90b3e1-b34a-4764-957a-6aed15b3de28","BOMBER-INS-F25.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/a66b1822-47fb-40ff-aea1-a28515de6dc2","artwork","8746214","application/pdf","3f2ac51e-75c9-4997-900e-46422aa22459","""2025-10-09T17:33:23.007Z""",
"69660bd2-654a-4fc6-bb02-e5c45c2437aa","c10603b3-fc63-4da7-ab2c-ffed61f3a21b","Bradford_PO_1227424_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/7540fb5d-112e-414e-a53d-f5086c221bc1","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-08T16:10:01.962Z""",
"6bfdac88-06ce-429b-93a0-c42ab490e085","c8cb42a2-1259-4f4d-bdda-fb41e0b343ec","Bradford_PO_BPO-2025-679401.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/75138e87-a1a2-4521-b045-31a696dc2283","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-08T14:27:59.712Z""",
"71cfa3fb-3a75-4178-a29f-c22c5f9ada3d","b7456eb0-1296-40c9-a60d-1d37422e66f2","Bradford_PO_1227430_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/b6b8b107-c64e-41b1-9ab6-f96b12ca9e1a","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-09T22:35:17.713Z""",
"8021f52e-f995-4a66-a3f5-4ad4b1eaf5b8","0e03cec2-bb6a-45f5-8e22-9fcfd32ac41e","Bradford_PO_1227437_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/3043dd13-5deb-4786-868a-c009795b8054","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-10T14:50:24.689Z""",
"89bfeafb-f0e5-49e2-ab5e-9023ca70db51","b7456eb0-1296-40c9-a60d-1d37422e66f2","NW-082525-FALL25 FINAL (1).pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/1a4d702e-e5d3-4068-8689-10220f417ab9","artwork","853101","application/pdf","a717bcf8-6395-4cdf-8131-fdabb222541e","""2025-09-10T15:11:30.502Z""",
"8de564fe-3f20-4412-9585-bde15e8bfab9","4569215c-07e7-4e4a-b579-70287ce64964","NaomiWhittel_November.zip","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/cc70aea8-0fe4-4242-adc8-5b37d134d82c","data","2216164","application/zip","3f2ac51e-75c9-4997-900e-46422aa22459","""2025-10-06T20:10:02.544Z""",
"93f966c3-ddd2-42f1-9928-3143b7315410","0685e7ff-ef07-4ba7-b646-bbaf9a10d141","Bradford_PO_1227419_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/3836e8e0-4253-47a9-8f18-348d264d822e","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-07T21:40:17.960Z""",
"97dc71b7-f1b1-4ded-a6cb-26ee221a70e1","07e366e7-a763-40c1-8159-c967ac8990aa","71lht5uJA+L.jpg","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/6adfcdd2-e9fb-4152-8084-a480e5071ef2","artwork","219600","image/jpeg","aa1c746b-bee6-448c-9112-cf6f8531da6e","""2025-10-09T17:00:06.492Z""",
"9e45d231-82fe-478d-a3a5-e55b1944686b","158dc932-f147-4b35-a47d-5b4af51300bf","Bradford_PO_1227421_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/251f8c42-bf0b-426f-95ea-a819475a7f5e","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-08T14:30:32.725Z""",
"a12ed0e2-bd8a-4c12-bb1f-1fe14d0a89ac","4569215c-07e7-4e4a-b579-70287ce64964","NW-101625-YEAREND25 R8.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/d3691367-ed99-4bdb-8c15-b46eab646e9d","artwork","1421013","application/pdf","a717bcf8-6395-4cdf-8131-fdabb222541e","""2025-10-07T17:16:43.995Z""",
"a377cf81-f3c9-4191-abe2-20f2dc1fd145","80c0c4f7-1e9e-483d-ae4a-d22a385bfdab","Bradford_PO_1227439_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/814c247e-2b04-43b1-a4ca-431badbf713a","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-10T15:04:03.349Z""",
"a9b9eea0-d571-41ed-ae9d-216e8ab00648","61dc5bec-f3ca-4745-86f7-05c2e739f731","Bradford_PO_1227427_Original.pdf","/replit-objstore-0c121362-cdbb-49af-8076-3d501952f6d8/.private/uploads/681dfd9c-c550-4765-b9af-decaeebbfd00","po",,"application/pdf","a503ede4-be89-4f7b-ba54-b31fc37c2f39","""2025-10-08T16:06:18.297Z""",
